eye_status,hand_status,timestamp
"[WARNING] doze counter 104, dozing for 7.46s",both hands are in the zone,2024-08-27 17:30:25.524145
"[WARNING] doze counter 103, dozing for 7.54s",both hands are in the zone,2024-08-27 17:30:25.610668
"[WARNING] doze counter 102, dozing for 7.62s",both hands are in the zone,2024-08-27 17:30:25.689778
"[WARNING] doze counter 101, dozing for 7.70s",both hands are in the zone,2024-08-27 17:30:25.772498
"[WARNING] doze counter 100, dozing for 7.78s",both hands are in the zone,2024-08-27 17:30:25.853190
"[WARNING] doze counter 99, dozing for 7.87s",both hands are in the zone,2024-08-27 17:30:25.938971
"[WARNING] doze counter 98, dozing for 7.95s",both hands are in the zone,2024-08-27 17:30:26.020947
"[WARNING] doze counter 97, dozing for 8.03s",both hands are in the zone,2024-08-27 17:30:26.103835
"[WARNING] doze counter 96, dozing for 8.11s",[WARNING] right hand is out of the zone,2024-08-27 17:30:26.182122
"[WARNING] doze counter 95, dozing for 8.19s",both hands are in the zone,2024-08-27 17:30:26.262937
"[WARNING] doze counter 94, dozing for 8.28s",[WARNING] right hand is out of the zone,2024-08-27 17:30:26.348823
"[WARNING] doze counter 93, dozing for 8.36s",[WARNING] right hand is out of the zone,2024-08-27 17:30:26.427733
"[WARNING] doze counter 92, dozing for 8.44s",both hands are in the zone,2024-08-27 17:30:26.510126
"[WARNING] doze counter 91, dozing for 8.52s",both hands are in the zone,2024-08-27 17:30:26.591180
"[WARNING] doze counter 90, dozing for 8.60s",both hands are in the zone,2024-08-27 17:30:26.672532
"[WARNING] doze counter 89, dozing for 8.68s",both hands are in the zone,2024-08-27 17:30:26.751682
"[WARNING] doze counter 88, dozing for 8.77s",both hands are in the zone,2024-08-27 17:30:26.838680
"[WARNING] doze counter 87, dozing for 8.85s",both hands are in the zone,2024-08-27 17:30:26.917108
"[WARNING] doze counter 86, dozing for 8.93s",both hands are in the zone,2024-08-27 17:30:26.999910
"[WARNING] doze counter 85, dozing for 9.01s",both hands are in the zone,2024-08-27 17:30:27.074997
"[WARNING] doze counter 84, dozing for 9.09s",both hands are in the zone,2024-08-27 17:30:27.157983
"[WARNING] doze counter 83, dozing for 9.17s",both hands are in the zone,2024-08-27 17:30:27.241000
"[WARNING] doze counter 82, dozing for 9.26s",both hands are in the zone,2024-08-27 17:30:27.325571
"[WARNING] doze counter 81, dozing for 9.33s",both hands are in the zone,2024-08-27 17:30:27.403927
"[WARNING] doze counter 81, dozing for 9.41s",both hands are in the zone,2024-08-27 17:30:27.474942
"[WARNING] doze counter 82, dozing for 9.49s",both hands are in the zone,2024-08-27 17:30:27.554109
"[WARNING] doze counter 82, dozing for 9.55s",both hands are in the zone,2024-08-27 17:30:27.623693
"[WARNING] doze counter 81, dozing for 9.63s",both hands are in the zone,2024-08-27 17:30:27.703210
"[WARNING] doze counter 80, dozing for 9.71s",both hands are in the zone,2024-08-27 17:30:27.784598
"[WARNING] doze counter 79, dozing for 9.80s",both hands are in the zone,2024-08-27 17:30:27.867083
"[WARNING] doze counter 78, dozing for 9.88s",both hands are in the zone,2024-08-27 17:30:27.951981
"[WARNING] doze counter 77, dozing for 9.97s",both hands are in the zone,2024-08-27 17:30:28.037020
"[WARNING] doze counter 76, dozing for 10.05s",both hands are in the zone,2024-08-27 17:30:28.121358
"[WARNING] doze counter 75, dozing for 10.13s",both hands are in the zone,2024-08-27 17:30:28.197246
"[WARNING] doze counter 74, dozing for 10.21s",both hands are in the zone,2024-08-27 17:30:28.274503
"[WARNING] doze counter 73, dozing for 10.28s",both hands are in the zone,2024-08-27 17:30:28.354028
"[WARNING] doze counter 72, dozing for 10.37s",both hands are in the zone,2024-08-27 17:30:28.439085
"[WARNING] doze counter 71, dozing for 10.45s",both hands are in the zone,2024-08-27 17:30:28.522648
"[WARNING] doze counter 71, dozing for 10.53s",[WARNING] left hand is out of the zone,2024-08-27 17:30:28.595330
"[WARNING] doze counter 71, dozing for 10.59s",[WARNING] left hand is out of the zone,2024-08-27 17:30:28.662985
"[WARNING] doze counter 70, dozing for 10.67s",[WARNING] left hand is out of the zone,2024-08-27 17:30:28.743409
"[WARNING] doze counter 69, dozing for 10.77s",[WARNING] both hands are out of the zone,2024-08-27 17:30:28.838215
"[WARNING] doze counter 68, dozing for 10.85s",[WARNING] both hands are out of the zone,2024-08-27 17:30:28.917949
"[WARNING] doze counter 67, dozing for 10.91s",[WARNING] left hand is out of the zone,2024-08-27 17:30:28.982927
"[WARNING] doze counter 66, dozing for 11.00s",[WARNING] left hand is out of the zone,2024-08-27 17:30:29.065030
